번호,상품명,구성물, 제조사 ,사용연령,설명,영역,관리기관전화번호,데이터기준일자
114,브이텍 색깔놀이 손전등,본체,브이텍,18개월이상,"링을 돌려 불빛의 색깔을 바꾸고 동물들이 내는 소리를 들어보세요. 버튼을 누르면 게임을 하거나, 알파벳을 익히거나 음악을 들을 수 있습니다.",조작(탐색),063-432-3400,2022-12-02
115,브라이트스타트 댄싱 유니콘,본체,브라이트스타트,6개월이상,"흔들흔들 앞으로 달려 나가는 댄싱 유니콘! 터치하면 불빛과 음악 소리를 내는 유니콘. 숫자와 컬러,모양,문자 등을 알려주는 러닝모드와 아기의 움직임을 자연스럽게 유도하는 체이스모드를 선택해서 사용할 수 있습니다.",조작(탐색),063-432-3400,2022-12-02
116,캐스B플레이 해피 레코딩마이크 ,본체,캐스B,3세이상,"마이크 하나에 다양한 효과가 있어 심심할 틈이 없는 해피 레코딩마이크예요. 기본 마이크의 기능인 에코효과 뿐만이 나이라 목소리를 녹음해서 변조할 수 있고, 신나는 음악과 효과음까지 숨어 있답니다.",음률,063-432-3400,2022-12-02
117,브이텍 도형끼우기 드럼,"본체, 도형 5개",브이텍,12개월이상,"도형 모양의 피스를 해당되는 각 도형 분류슬롯에 넣으면서 도형과 숫자, 동물을 학습할수 있습니다. 놀이를 하는 동안 드럼을 두드릴 때 나는 음향효과도 즐길 수 있습니다.",조작(탐색),063-432-3400,2022-12-02
118,브이텍 노래하는 야옹이,본체,브이텍,6개월이상,고양이를 끌고 다니거나 알파벳 버튼을 눌러보세요. 고양이가 알파벳과 색깔을 알려주고 아름다운 음악을 연주합니다.,조작(탐색),063-432-3400,2022-12-02
119,브이텍 트리 쌓기놀이,11pcs,브이텍,9개월이상,"피스를 쌓을 수도 있고, 구조물을 만들 수도 있으며, 작은피스에 큰 피스를 겹칠 수도 있습니다. 피스위에 고양이를 올려놓아 색깔과 숫자를 학습하며 놀이할 수 있습니다.",조작(탐색),063-432-3400,2022-12-02
120,리틀타익스 기차놀이,"본체, 컵 3잔, 도형 3개",리틀타익스,6개월이상,알록달록한 선명한 색상과 다양한 놀이기구로 아이들의 호기심과 상상력을 키워줍니다. 컵쌓기 놀이차에는 세개의 컵이 있어 쌓으며 놓이가 가능합니다.,자동차(모형),063-432-3400,2022-12-02
121,브이텍 흔들흔들 춤추는 오뚜기,본체,브이텍,6개월이상,살짝 밀어주면 오뚜기가 춤을 추며 재미있는 소리를 냅니다. 음악버튼을 누르면 재미있는 노래 소리와 즐거운 멜로디가 들리며 롤러볼을 돌리면 숫자 공부 놀이도 할 수 있습니다.,조작(탐색),063-432-3400,2022-12-02
122,브이텍 뉴 알파벳 학습버스,본체,브이텍,2세이상,"파닉스, 알파벳, 어휘, 숫자, 수세기와 안전수칙에 대해 배울 수 있습니다. 또한 멜로디와 노래, 실제와 같은 효과음도 내장되어 놀이가 더욱 즐거워집니다.",조작(탐색),063-432-3400,2022-12-02
123,브이텍 첫발견 까꿍놀이책,본체,브이텍,3개월이상,"재미있는 놀이 조각을 움직이고 돌리면서 책장을 넘겨보세요. 페이지마다 다른 멜로디와 효과음, 동요를 들을 수 있습니다.",조작(탐색),063-432-3400,2022-12-02
124,브이텍 칙칙폭폭 파닉스 기차놀이,"기차놀이본품, 블록 13개",브이텍,12개월이상,"즐거운 효과음과 춤추는 조명, 재미있는 멜로디가 아이의 호기심을 충족합니다. 파닉스,알파벳, 숫자와 음악을 배울 수 있습니다. 성장발달에 따라 여러가지 모양으로 변형이 가능합니다.",신체(승용),063-432-3400,2022-12-02
125,브이텍 빙글빙글 러닝 볼 타워,"볼타워 1개, 공 4개",브이텍,9개월이상,알록달록한 볼이 미끄럼틀을 타며 어린이들에게 숫자와 색깔을 가르쳐줍니다. 손잡이를 돌리면 볼이 회전하면서 트랙을따라 내려가는 모습을 지켜볼 수 있습니다.,조작(탐색),063-432-3400,2022-12-02
126,브이텍 동요가 나오는 파닉스 그림책,본체,브이텍,6개월이상,재미있는 놀이 조각을 움직이고 돌리면서 책장을 넘겨보세요. 알록달록한 다섯개의 건반으로 피아노를 연주하며 색깔과 악기 이름을 배울 수도 있습니다.,통합놀잇감,063-432-3400,2022-12-02
127,브이텍 운전놀이 붕붕카,본체,브이텍,6개월이상,"운전과 학습, 음악모드가 가능한 상호작용 운전대를 갖추고 있습니다. 시동을 걸고 기어를 움직이거나 경적을 울리면 사실적인 운전 효과음을 들을 수 있습니다.",신체(승용),063-432-3400,2022-12-02
128,브라이트스타트 공놀이 체육관,"본체, 공 3개,하키공 4개, 배트, 골프채",브라이트스타트,12개월이상,"스포츠 종목에 대한 이해는 물론, 운동에 친근감을 가질 수 있도록 도와 주는 공놀이 체육관! 360도 다양한 스포츠 시설이 가득한 우리 아기만을 위한 체육관이에요.",신체(승용),063-432-3400,2022-12-02
129,브이텍 도형끼우기 헬리콥터,"본체, 블록 4개",브이텍,12개월이상,"헬리곱터를 이용한 놀이와 학습이 간으하며, 네가지 도형 조각과 재미있는 소리가 흥미를 자극합니다. 하늘을 나는 기분으로 도형과 색깔을 배우게 해주세요.",조작(탐색),063-432-3400,2022-12-02
130,브이텍 터치 파닉스 워드북,본체,브이텍,18개월이상,똘똘한 아기곰 코디와 코라와 함께 네가지 액티비티를 통해 100개 이상의 단어를 학습할 수 있습니다. 6가지 테마로 이루어져 있으며 단어나 이미지를 손가락으로 터치하면 해당하는 단어를 가르쳐줍니다.,조작(탐색),063-432-3400,2022-12-02
131,브이텍 쇼핑카트와 쉐프놀이 세트,"본체, 소품 20개",브이텍,2세이상,쉽고 간단하게 변신이 가능하며 재미있는 효과음과 음악이 나옵니다. 요리와 쇼핑을 즐기며 다양한 학습의 재미도 더해져 즐거운 역할 놀이가 가능해집니다.,역할(소꿉),063-432-3400,2022-12-02
132,리틀타익스 클리어리 농구대,"농구대 1개, 농구공 1개",리틀타익스,18개월부터 4세,투명한 창안에 공들이 있어 농구공을 넣으면 색색이 춤을춰요,신체(승용),063-432-3400,2022-12-02
133,[러닝리소스] 러닝드럼 5종,"드럼 5종, 드럼스틱 2개",러닝리소스,2세이상,재미있는 드럼을 치면서 학습까지 할수있어요.각각의 드럼에 있는 숫자와 모양과 색깔을 인지하면서 신나는 비트의 세계로 빠져봅시다,음률,063-432-3400,2022-12-02
134,쿠쿠토이즈 폴리볼링세트(대),"볼링핀 10개, 볼링공 2개",쿠쿠토이즈,3세이상,실내에서 활동하기 좋은운동으로 아이들에게 운동신경발달과 집중력향상에 도움을 줍니다.,신체(승용),063-432-3400,2022-12-02
135,리틀타익스 아기키보드(블루) ,본체,리틀타익스,2세이상,아기 키보드는 유아의 감수성과 음악감각을 키워주는 음악완구입니다.,음률,063-432-3400,2022-12-02
136,아이코닉스 베이비 타요 멜로디 피아노,본체,아이코닉스,2세이상,"우리 아기의 첫번째 감성피아노 손잡이가 달려있어 휴대하기 좋아요, 땡땡땡 소리가 아이가 즐거워합니다.",음률,063-432-3400,2022-12-02
137,리틀타익스 흔들목마 블루,본체,리틀타익스,1세부터 3세,회전목마 타기를 좋아하는 어린이들을 위한 완구로 아이들의 감성을 자극해줄수 있는 귀여운 디자인으로 설계되었습니다.,신체(승용),063-432-3400,2022-12-02
138,스텝2 디자이너주방놀이,"본체, 소품 17개",스텝2,2세이상,미니주방은 꼬마 요리사들이 예쁜 주방에서 재미있게 요리 놀이를 할 수 있게끔 만든 완구제품입니다.,역할(소꿉),063-432-3400,2022-12-02
139,한글 영어 스스로 굴러가는 깜짝볼 스마트,본체,브이텍,6개월이상,볼이 신기하게 스스로 굴러갈수 있어서 아이들이 소리와 노래에 반응하며 즐거워합니다.,조작(탐색),063-432-3400,2022-12-02
140,오볼 카캐리어,"카캐리어, 미니카 2대",오볼,12개월이상,오볼 미니카를 싣고 달리는 오볼 카캐리어 흥미와 호기심을 자극하는 창의적인 고그립퍼 시리즈,자동차(모형),063-432-3400,2022-12-02
141,꼬마버스 타요 클래식 붕붕카,본체,아이코닉스,12개월이상,무소음 타요 롤링카와 함께 어디서든 신나게 달려요 아들의 안전을 위한 전복 방지 및 라운드 형상의 범퍼 디자인과 최대중량 50kg까지 견딜수 있는 제품입니다.,신체(승용),063-432-3400,2022-12-02
142,리틀타익스 30주년코지경찰차,본체,리틀타익스,18개월이상,코지 쿠페는 유아의 신체발달 및 자랍심을 키워주는 승용완구입니다.,신체(승용),063-432-3400,2022-12-02
143,브라이트스타트 익스플로러 바운서,본체,브라이트스타트,0개월이상,넓고 편안하 시트와 플라워 디자인으로 안정감과 사랑스러움을 강조한 바운서입니다.,육아용품,063-432-3400,2022-12-02
144,리틀타익스 리틀 음악교실,"본체, 도형 3개",리틀타익스,12개월이상,"유아의 호기심을 키워주는 유아완구입니다. 다양한 소근육발달 놀이를 즐길 수 있고, 버튼을 누르면 멜로디가 나옵니다. 손잡이가 있어 이동이 편리합니다.",음률,063-432-3400,2022-12-02
145,리틀타익스 몬스터디거,"본체, 운전사 1명",리틀타익스,3세이상,크레인이 달려있는 커다란 덤프트럭입니다. 바퀴는 쉽고 부드럽게 굴러갑니다.,자동차(모형),063-432-3400,2022-12-02
146,브이텍 노래하는 스피닝 휠,본체,브이텍,6개월이상,"스피닝을 돌리면 신나는 음악이 나오며 별에서 불빛이 반짝반짝이며 아이의 주의를 끕니다. 동물버튼을 누르면 동물효과음과 동물이름, 각 동물캐릭터에 있는 숫자와 그에 해당하는 동요가 나옵니다.",조작(탐색),063-432-3400,2022-12-02
147,접이식 수납 원목침대,"침대, 수납판, 판매트(쿠션일체형)",보니따베이비,0세이상,"아기의 안정을 위해 침대 내부의 모든 모서리를 라운딩 처리하였습니다. 수납문 앞쪽은 여닫이, 뒤쪽은 미닫이로 되어있어 아기용품등이 먼지로부터 오염되지 않아 위생적입니다. 접이식 침대이므로 설치 및 보관이 편리합니다. 5분인에 설치를 끝낼 수 있습니다. 아기의 성장에 따라 높이를 4단계로 조절할 수 있습니다. 네바퀴 모두 고정, 이동이 편리한 안전 스토퍼형 바퀴입니다. ",육아용품,063-432-3400,2022-12-02
148,접이식침대,"침대, 매트, 기저귀 교환대, 모빌, 모기장",베이비캠프,0세이상,"아기침대, 흔들침대, 놀이텐트가 하나로 3in 1! 엄마의 마음을 담아 만들어진 아기침대로 캠핑이나 휴가시에도 간편하게 휴대가 가능한 제품입니다. 침대를 접은 다음 보관용 백에 넣으면, 휴대가 간편합니다. 가정내에서도 손쉽게 이동됩니다. ",육아용품,063-432-3400,2022-12-02
149,리틀타익스 리틀 트래블 유모차,본체,리틀타익스,0세이상,"리틀타익스 트래블 유모차는 이동과 보관이 간편한 휴대용 유모차로 아이의 외출을 더욱 편안하게 해줍니다. 등받이는 단계별로 각도조절이 가능하며 안전한 5점식 벨트로 제작되어 양 어깨와 허리, 가랑이를 감싸 더욱 안전합니다. 엄브렐라식 폴딩방법을 사용하여 간편한 보관 및 나들이 시 차량운반이 가능합니다. ",육아용품,063-432-3400,2022-12-02
150,식탁의자,"식탁의자, 시트, 벨트, 2중식판",지그,6개월이상,아이의 성장에 따라 식판을 3단계로 조절할수 있습니다. 간단하게 다리만 분리하면 부스터 시트로 가능하며 미끄럼 방지가 되어 있습니다. 접어서 보관할 수 있으며 접을 경우 25cm공간에 쏙 들어갈 정도로 콤팩트해집니다. ,육아용품,063-432-3400,2022-12-02
151,범보아기의자+카트+전용가방,"의자, 카트, 전용보관백",범버,3개월이상,소프트한 제질로되어 있으며 세척하기 쉽습니다. 발달 설계 디자인 제품이며 원터치 벨트 시스템입니다. 등을 감싸주어 척추를 바르게 하며 아기를 바르게 앉힐 수 있게 허벅지를 잡아줍니다. 카트가 있어 이동이 용이합니다. ,육아용품,063-432-3400,2022-12-02
152,치코 포켓스낵 부스터,본체,치코,6개월이상,포켓 스낵은 컴팩트하고 가벼워 휴대용으로도 훌륭한 아기식탁이며 어디에서나 편안한 식사가 가능합니다. 엄마가 손쉽게 조립 및 운반을 할 수 있으며 제품 겉면에 스푼 모양의 그림이 새겨져 있어 미적인 부분 또한 충족 시켜줍니다. 아기의 안전을 고려한 3점식 벨트로 안전하고 편리함을 제공해줍니다. ,육아용품,063-432-3400,2022-12-02
153,라디오플라이어 그랜드 캐노피 웨건,본체,라디오플라이어,18개월이상,야외나들이에 꼭 필요한 웨건! 등받이와 안전벨트가 있어 어린아이도 안전하게 사용할 수 있습니다. 옆면이 분리가 가능하여 의자로도 활용이 가능합니다. 등받이는 접을 수 있어 아이를 눕히거나 한쪽만 접어 테이블로도 사용이 가능합니다. ,신체(승용),063-432-3400,2022-12-02
154,립프로그 알파벳퍼피-그린,본체,립프로그,12개월이상,알록달록 버튼을 누르면 알파벳과 단어를 배울 수 있습니다. 재미있는 3가지 영어노래를 통해 즐거운 영어놀이를 시작 할 수 있습니다. 뼈다귀를 잡고 걸으면 재미있는 노래가 나와 즐거운 걸음마 놀이를 시작할 수 있습니다. ,조작(탐색),063-432-3400,2022-12-02
155,립프로그 카운팅키티,본체,립프로그,9개월이상,1~20까지 버튼을 누르면 키티가 숫자를 말해줘요. 키티를 앉히고 털뭉치를 돌리거나 키티를 앞으로 가게하면 멜로디가 나와요. 노래를 따라하며 숫자세는 법을 배워보아요. ,조작(탐색),063-432-3400,2022-12-02
156,스페이스 세이버 점퍼루(우드),본체,피셔프라이스,4개월이상,"평평하게 접을 수 있어 집에서 쉽게 보관하거나 야외에서도 휴대하기 편리합니다. 아기가 성장함에 따라 4단계 높이 조절이 가능하여 아기의 성장, 발달에 맞춘 바운스를 경험할 수 있습니다. 반짝이는 무지개 색의 피아노 건반으로 연주도 하고 컬러풀한 링을 앞뒤로 밀면서 아기의 오감을 자극합니다. ",신체(승용),063-432-3400,2022-12-02
157,스텝2 책상의자세트,"책상 1개, 의자 2개",스텝2,2세이상,책상의자세트는 어린이들에게 꼭 필요한 다용도 상품으로 성인이 사용해도 무방할 정도의 내구성을 갖췄습니다. 여러해 사용해도 변색과 마모가 잘 되지 않으며 의자 외형이 접혀지지 않는 일체형 구조로 이뤄져 있어 이음새에 다칠 염려가 없도록 디자인 되었습니다. ,통합놀잇감,063-432-3400,2022-12-02
158,윈펀 R/C 똑똑한 무선자동차,"자동차, 리모콘",윈펀,12개월이상,귀여운 표정의 꼬마 자동차는 버튼을 누르면 신나게 달립니다. 알록달록한 색감은 아이들의 호기심을 자극하기에 좋습니다. 버튼을 누르면 자동차 앞 라이트에 불이 깜빡거려요. ,자동차(모형),063-432-3400,2022-12-02
159,원더키드 뽀로로 청소박사,본체,원더키드,3세이상,엄마를 도와 함께 청소할 수 있는 청소박사입니다. 키에 맞춰 길이 조절이 가능하며 손잡이의 버튼을 누르면 뽀로로가 노래를 합니다. 시중 일반 청소포 모두 사용가능합니다. ,역할(소꿉),063-432-3400,2022-12-02
160,코니스 아롱이 다롱이,본체,코니스,4세이상,아롱이와 다롱이는 장애물에 부딪히면 방향을바꿔 나아가며 춤을추듯 자유롭게 움직이고 맑고 신나는 듀얼톤 동요 15곡이 연주됩니다. 동요멜로디와 함께 움직이는 아롱이와 다롱이 모자의 불빛이 반짝반짝 빛나요.,통합놀잇감,063-432-3400,2022-12-02
161,코니스 뽀로로 하늘여행,본체,코니스,37개월이상,알록달록 프로펠러가 빙글빙글 돌아가고 30곡의 동요멜로디가 연주되며 위잉~ 실감나는 이륙음이 나옵니다. 전진하면 불빛이 반짞반짝!! 앞바퀴를 돌려 방향을 조절할 수있어요. ,자동차(모형),063-432-3400,2022-12-02
162,뽀로로 마트놀이가방,본체,아이코닉스,36개월이상,"뽀로로 마트 가방은 아이들에게 친근한 마트를 배경으로 소푱놀이, 계산놀이 등의 역할놀이를 통해 숫자학습, 영어학습, 감각발달에 도움을 주는 상품입니다. 유아들이 좋아하는 최신동요, 영어동요, 뽀로로 주제가, 다양한 음성 기능과 함께 여러가지 유익한 놀이요소가 있는 간편한 접이식 포터블 가방으로 언제 어디서나 친구가 되어주는 똑똑한 가방입니다. ",조작(탐색),063-432-3400,2022-12-02
163,똑똑한 꼬마버스 타요,본체,아이존,12개월이상,기어의 원리를 배우고 손잡이를 돌리면 4개의 톱니바퀴가 무지개색을 내며 돌아가요. 바퀴를 움직이면 타요 주제가가 나와요. ,자동차(모형),063-432-3400,2022-12-02
164,리틀카우 캐리어 붕붕카(그린),본체,리틀카우,36개월이상,언제 어디서나 신나는 여행 출발! 다양한 장난감을 정리하고 타고 노는 붕붕카로도 변신해요. ,신체(승용),063-432-3400,2022-12-02
165,리틀카우 캐리어 붕붕카(핑크),본체,리틀카우,36개월이상,언제 어디서나 신나는 여행 출발! 다양한 장난감을 정리하고 타고 노는 붕붕카로도 변신해요. ,신체(승용),063-432-3400,2022-12-02
166,쿠쿠토이즈 엠버책상의자세트(핑크),"책상 1개, 의자 2개",쿠쿠토이즈,36개월이상,넉넉한 사이즈라 안전하고 튼튼한 책상&의자에서 우리아이 학습습관을 키워주세요. 책상에는 서랍장이 있어 편리합니다. ,육아용품,063-432-3400,2022-12-02
167,반디 키즈 드림카-(레드),본체,반디,18개월이상,"고급스런 디자인과 재미있는 기능을 담은 아이들이 꿈꾸는 붕붕카입니다.  경적음, 방향지시등, 다양한 음악이 나오며 멋진 전조등과 후미등이 있습니다. ",신체(승용),063-432-3400,2022-12-02
168,키움하우스 핑거드럼,본체,키움하우스,3세이상,"반짝반짝 불빛, 신나는 멜로디와 다양한 재미를 느끼면서 감각발달까지 도와주는 착한 장난감 핑거드럼입니다. 드럼을 치면 재미있는 소리가 나면서 불빛이 반짝반짝 빛나요. 빛나는 불빛은 아이가 드럼을 보며 시선을 집중하게 하고 신나는 음악을 들으며 음악에 관심을 기울이게 합니다. ",음률,063-432-3400,2022-12-02
169,키움하우스 뷰티체어플레이세트,"화장대, 메니큐어 3개, 립스틱 2개, 반지 3개, 목걸이 1개, 팔찌 2개, 빗, 드라이기",키움하우스,3세이상,"여아 친구들이 좋아하는 뷰티세트입니다. 놀이후엔 깔끔하게 정리, 평소엔 의자로 사용할 수 있어요. 공주님으로 변신할 수 있는 다양한 소품들이 가득 담겨있어요. 나들이 가서도 재미있게 역할 놀이를 할 수 있도록 휴대가 편리합니다. ",역할(소꿉),063-432-3400,2022-12-02
170,햇님토이 팬더카,본체,햇님토이,37개월이상,귀여운 캐릭터차 팬더카입니다. 귀엽고 톡톡튀는 컬러와 팬더보다 더 팬더같아 보여 아이들이 좋아합니다. ,신체(승용),063-432-3400,2022-12-02
171,아이앤필 손글씨보드(오렌지),"보드, 연필",아이앤필,3세이상,아이들에게 필기습관 및 바른자세교정을 스스로 익힐 수 있도록 하는 특허받은 교육완구입니다. 펜을 잘못된 방법으로 쥐면 사용할 수 없습니다. 바른자세로 유도하는 디자인이 적용되어 있습니다. 지우개 손잡이는 기어 방식으로 부드럽게 슬라이딩 되어 손쉽게 지울 수 있습니다. ,통합놀잇감,063-432-3400,2022-12-02
172,[브랜드B] 무선씽씽스페이스카,"자동차, 리모콘",브랜드B,4세이상,화려한 불빛! 장애물에 부딪쳐도 쉽게 회전합니다. 리모컨 버튼이 하나로 되어 있어서 아이들이 조작하기 쉽습니다. 장애물에 부딪쳐도 쉽게 회전할 수 있어요. 버튼을 누르면 시동거는 소리와 불빛이 들어와요. ,자동차(모형),063-432-3400,2022-12-02
173,뽀로로의자(LG) / lg뽀로로 노랑,본체,아기자리,12개월이상,"아이들이 너무나 좋아하는 뽀로로 캐릭터 디자인에 튼튼한 철제의자입니다. 최고급 소재로 튼튼하게 만들어져 내구성이 뛰어나며 코팅이 쉽게 벗겨지지않고 변형, 변색의 우려가 적습니다. 5cm의 쿠션이 아이가 장시간 앉아있어도 아이가 편안함을 유지할 수 있도록 해줍니다. ",육아용품,063-432-3400,2022-12-02
174,캐스B스포츠 배드민턴세트,"라켓 2개, 셔틀콕 1개, 공 1개",캐스B,3세이상,"배드민턴 라켓2개와 셔틀콧 1개, 공 1개로 구성된 세트입니다. 말랑말랑한 테니스공도 포함되어 있어 테니스 게임도 가능합니다. 무게가 가벼워 아이들의 팔에 무리가 가지 않으며 손잡이와 라켓에 엠보싱 처리가 되어있어 딱딱하지 않아 다칠 위험이 적습니다. ",신체(승용),063-432-3400,2022-12-02
175,캐스B스포츠 트램폴린 캐치볼,"라켓 2개, 공 2개",캐스B,3세이상,한사람이 위로 튕기기 놀이를 하거나 두 명이 같이 주고받기 놀이를 할 수 있습니다. 손잡이가 있어 편하게 잡고 튕길 수 있으며 공의 무게가 가볍고 부드러워 아이들이 다칠 위험이 없습니다. ,신체(승용),063-432-3400,2022-12-02
176,캐스B스포츠-점핑디어 룰루랄라(레드),본체,캐스B,3세이상,통통 튀는 점핑디어를 타고 다니면서 발 끝부터 미세근육이 발달돼 아이들의 신체감각이 쑥쑥 자라나며 균형이 발달합니다. ,신체(승용),063-432-3400,2022-12-02
177,[짐닉]호핑볼-50cm 노랑,"본체, 영문메뉴얼, 아답터, 마개, 핸드펌프",짐닉,6세이상,통통 튀는 호핑볼은 컬러풀한 색으로 디자인 되어있습니다. 발끝부터 미세근육이 발달돼 아이들의 신체감각이 쑥쑥 자라나며 균형이 발달합니다. ,신체(승용),063-432-3400,2022-12-02
178,콩순이 NEW쓰기컴퓨터,"본체, 펜",영실업,37개월이상,"고감도 쓰기펜과 쓰기패드가 있어 글씨를 쓰면 화면에 나타나요. 기본글자, 받침글자, 쌍자음, 복잡한 모음을 배울 수 있으며 그림을 그릴수도 있습니다. 우리동요, 외국동요를 따라 부를수도 있고 두뇌발달 게임도 할 수 있습니다.  ",통합놀잇감,063-432-3400,2022-12-02
179,씽크 클레오 링걸이,"원목대, 노랑링 2개,빨강링 2개,초록링 2개, 남색링 2개",씽크,3세이상,"링게임 놀이를 통해 손의 감각, 집중력, 운동신경 발달과 정서순화에 도움을 줍니다. 가족들, 친구들과 함께 즐길 수 있으며 원목대를 사용하여 무게감이 있고 감촉이 좋습니다. ",신체(승용),063-432-3400,2022-12-02
180,아이존 뽀로로 범버카,본체,아이존,3개월이상,뽀로로가 흔들흔들~ 해리가 빙글빙글~ 12가지 동요멜로디가 랜덤으로~자동으로 장애물을 피해서 움직여요. ,통합놀잇감,063-432-3400,2022-12-02
181,영실업 엉뚱발랄 콩순이,본체,영실업,36개월이상,엉뚱발랄 귀여운 콩순이와 항상 마이크를 들고 다니며 무슨말이든 랩처럼 흥얼거리는 라임별에서 온 세오입니다. ,역할(소꿉),063-432-3400,2022-12-02
182,안아주세요 돌보기 콩콩이,본체,영실업,36개월이상,엉뚱발랄 콩순이의 아기동생 콩콩이입니다. 콩콩이를 꼬옥 안아주세요. 콩콩이는 울고 웃고 말을 합니다. ,역할(소꿉),063-432-3400,2022-12-02
183,콩순이 NEW쓰기컴퓨터,"본체, 펜",영실업,37개월이상,"고감도 쓰기펜과 쓰기패드가 있어 글씨를 쓰면 화면에 나타나요. 기본글자, 받침글자, 쌍자음, 복잡한 모음을 배울 수 있으며 그림을 그릴수도 있습니다. 우리동요, 외국동요를 따라 부를수도 있고 두뇌발달 게임도 할 수 있습니다.  ",통합놀잇감,063-432-3400,2022-12-02
184,우디즈 패밀리 컨트리 하우스,"본체, 인형 2개",우디즈,3세이상,귀여운 컨트리 하우스로 놀러오세요. 귀여운 인형 2개가 포함되어 있습니다.  다양한 소품들로 예쁘게 꾸며 보세요. ,역할(소꿉),063-432-3400,2022-12-02
185,브라이트스타트 공놀이 개구리연못,"본체, 컬러볼 6개",브라이트스타트,6개월이상,입 속에 공이 팡팡~ 공놀이 개구리 연못은 입속 바운스 패트가 공을 튕겨 내 밖으로 내보내는 장난감으로 보는 이를 웃게 만드는 재미있는 개구리입니다. ,조작(탐색),063-432-3400,2022-12-02
186,자석나라 마네티코블럭 주니어,"블록 23pcs, 예시카드,케이스",자석나라,12개월이상,마네티코블록은 요철을 없애고 자석을 내장하여 자력의 힘이 마음껏 상상하는데로 쉽고 재미있게 블록쌓기를 오래도록 할 수 있게 도와줍니다. ,블록,063-432-3400,2022-12-02
187,캐스B스포츠-축구공 6종세트,축구공 6개,캐스B,3세이상,"체육활동에 사용되는 공놀이 완구로 신체영역 발달에 도움을 줍니다. 가볍고 안전하며, 6가지 예쁜 색상으로 구성되어 있습니다. ",신체(승용),063-432-3400,2022-12-02
188,[브랜드B] 루키미러,본체,브랜드B,12개월이상,아기가 거울을 보며 좋아합니다. 뱅글뱅글 데굴데굴 양쪾으로 굴리면서 놀 수 있어요. 양쪽 큰 바퀴를 굴리면 딸랑딸랑 소리와 함께 데구르르 굴러갑니다. 아이가 신기해하면 따라가요~,조작(탐색),063-432-3400,2022-12-02
189,[브랜드B] 피아노매트 ,본체,브랜드B,3세이상,"오렌지/블루 2가지 모드로 2명이서 함께 연주가능합니다. 즐거운 음악, 재밌는 소리, 반짝이는 불빛을 따라 밟으면서 피아노 연주를 해봐요. ",신체(승용),063-432-3400,2022-12-02
190,우디즈 패밀리 스쿨 하우스,"4pcs, 인형2개",우디즈,3세이상,딩동뎅동~ 수업시작했어요!!! 즐거운 우리동네 학교~ 아이들이 너무 즐거워 하는 놀이입니다. ,역할(소꿉),063-432-3400,2022-12-02
191,뽀로로 까꿍 숨바꼭질 놀이,본체,아이코닉스,37개월이상,"뽀로로와 함께 랜덤 퀴즈로 숫자맞추기, 색깔 맞추기, 친구찾기 놀이를 해보아요. 문이 열리면 캐릭터들의 다양한 멘트를 들을 수 있어요. 버튼을 누르고 내리고, 밀면서 아이들 소근육 발달 향상에 도움을 주어요. ",신체(승용),063-432-3400,2022-12-02
192,자석나라 마네티코블럭 시니어,"블록 27pcs, 예시카드, 케이스",자석나라,3세이상,마네티코블록은 요철을 없애고 자석을 내장하여 자력의 힘이 마음껏 상상하는데로 쉽고 재미있게 블록쌓기를 오래도록 할 수 있게 도와줍니다. ,블록,063-432-3400,2022-12-02
193,원앤원 뽀로로 돌보기 아기띠,"뽀로로, 옷, 우유병, 아기띠",원앤원,37개월이상,뽀로로를 돌봐주고 아기띠로 안아주고 우유도 먹여주세요. ,역할(소꿉),063-432-3400,2022-12-02
194,치코 포인원카 4in1 car,본체,치코,9개월이상,"월별, 연령별로 아기의 성장단계에 맞춰 사용할 수 있는 안전한 붕붕카입니다. 4단계로 변형이 가능하며 놀면서 자라는 아기들에게 즐겁고 재미있는 놀이시간을 선물하세요. ",신체(승용),063-432-3400,2022-12-02
195,치코 워키토키보행기,본체,치코,6개월이상,성장하는 아기들의 변화에 맞춰 3단계로 높이 조절이 가능하여 아이의 바른 자세를 잡는데 도움을 줍니다. 아이들의 호기심을 자극하는 반짝반짝 불빛과 동물들과 함께하는 신나는 멜로디 놀이판입니다. ,신체(승용),063-432-3400,2022-12-02
196,리틀타익스 빅 카 캐리어(운반차),"본체, 미니카 2대",리틀타익스,18개월이상,빅 카 캐리어는 두개의 작은 자동차가 있는 견고하고 세련된 디자인의 유아완구입니다.,자동차(모형),063-432-3400,2022-12-02
197,피셔프라이스 래프앤런 뉴 러닝홈,"본체, 편지 2개, 도형 4개",피셔프라이스,6개월이상,아기에게 집이라는 친근한 컨텐츠를 실생활과 연결해보며 아기의사고 확장시켜줍니다.,통합놀잇감,063-432-3400,2022-12-02
198,스텝2 위스퍼라이드크루저,본체,스텝2,18개월이상,위스퍼휠 기능으로 바퀴의 소음을 최소화하였습니다. 엄마들이 직접 밀고 다닐 수 있어 모두 만족할 수 있는 승용완구입니다. ,신체(승용),063-432-3400,2022-12-02
199,미미 뽀로로 컴퓨터,"본체, 마우스",미미,3세이상,한글놀이/영어놀이/숫자놀이/창의력게임/뽀로로와 친구들 다섯가지 모드의놀이와 힌트보기 기능으로 즐겁고 쉽게 즐길 수 있는 게임들로 구성되어 있습니다. ,통합놀잇감,063-432-3400,2022-12-02
